Date, Open, High, Low, Close, TotalVolume, UnAdjustedClose
1999-05-04,91.18417464,91.64810892,89.83454763,90.25630607,  105093,133.75000000
1999-05-05,90.38283360,91.14199880,88.96994283,90.97329542,  100323,134.81250000
1999-05-06,90.72024036,91.18417464,89.32843751,90.41446549,  135072,133.98437500
1999-05-07,90.76241620,91.18417464,90.04542685,91.09982295,   86807,135.00000000
1999-05-10,90.99438334,91.58484516,90.10869062,90.64643263,   55801,134.32812500
1999-05-11,91.31070217,92.36509827,90.91003165,91.56375724,   70006,135.68750000
1999-05-12,91.60593308,92.59706541,88.73797569,92.28074658,  138658,136.75000000
1999-05-13,92.61815333,93.12426346,92.32292243,92.68141710,   44857,137.34375000
1999-05-14,90.80459204,91.69028477,90.08760270,90.27739399,   83701,133.78125000
1999-05-17,90.17195438,90.75187224,89.32843751,90.55153698,   62681,134.18750000
1999-05-18,90.78350412,91.08927899,89.49714088,90.38283360,   82186,133.93750000
1999-05-19,90.74132828,91.09982295,89.91889932,91.03655919,   50524,134.90625000
1999-05-20,91.18417464,91.50049347,90.46718529,90.48827321,   46704,134.09375000
1999-05-21,90.50936114,90.88894373,89.47605296,89.98216309,   64182,133.34375000
1999-05-24,90.31956984,90.31956984,87.98935446,88.48492063,   79520,131.12500000
1999-05-25,88.65362400,89.30734958,86.67135934,87.05094193,  154064,129.00000000
1999-05-26,87.26182115,88.40056894,86.43939219,88.02098634,  125759,130.43750000
1999-05-27,87.62031583,87.91554673,86.37612843,86.75571102,  145154,128.56250000
1999-05-28,87.05094193,88.23186556,86.77679895,87.86282693,   87480,130.20312500
1999-06-01,87.81010712,87.83119504,86.62918349,87.55705206,   67053,129.75000000
1999-06-02,87.55705206,87.85228297,86.38667239,87.64140375,   69819,129.87500000
1999-06-03,88.18968972,88.31621725,87.57813998,88.12642595,   60766,130.59375000
1999-06-04,88.71688777,89.99270705,88.35839309,89.89781140,   97872,133.21875000
1999-06-07,90.04542685,90.55153698,89.68693218,90.12977854,   52991,133.56250000
1999-06-08,90.00325101,90.28793796,88.80123946,89.24408582,   48957,132.25000000
1999-06-09,89.34952543,89.81345971,88.94885491,89.15973413,   74097,132.12500000
1999-06-10,88.69579985,88.71688777,87.45161245,88.33730517,   70407,130.90625000
1999-06-11,88.54818439,89.22299790,87.11420570,87.59922790,  128248,129.81250000
1999-06-14,88.18968972,88.23186556,87.41998057,87.68357959,   68235,129.93750000
1999-06-15,88.04207426,88.84341530,87.77847524,88.27404141,   57009,130.81250000
1999-06-16,89.32843751,90.34065776,89.32843751,89.96107516,   78658,133.31250000
1999-06-17,89.66584426,91.47940555,89.49714088,90.80459204,   81628,134.56250000
1999-06-18,90.74029123,91.16332289,90.27495640,90.90950390,   28751,134.31250000
1999-06-21,91.01526181,91.54405139,90.46532065,91.12101973,   46464,134.62500000
1999-06-22,90.69798807,91.50174822,90.35956274,90.48647224,   58624,133.68750000
1999-06-23,90.02113741,90.44416907,89.42889308,90.04228899,   96292,133.03125000
1999-06-24,89.93653108,89.97883424,88.43476868,89.36543833,   91769,132.03125000
1999-06-25,89.74616683,90.03171320,88.83664876,89.14334671,   40870,131.70312500
1999-06-28,89.80962158,90.44416907,89.68271208,90.23265324,   50289,133.31250000
1999-06-29,90.02113741,91.50174822,89.87307633,91.07871656,   69562,134.56250000
1999-06-30,91.12101973,93.06696537,90.59223015,92.72854004,  168561,137.00000000
